BX21,40.83762,-73.887349,2015-12-30T18:59:39.939,293,WF_W5-Weekday-110500_BX21_29,2015-12-30,BX210044,101455,101.42,6556.45,approaching
Q3,40.678511,-73.762177,2015-12-30T18:59:54.000,4671,JA_W5-Weekday-111600_MISC_533,2015-12-30,Q030089,500169,3.55,6706.48,at stop
M116,40.796273,-73.935211,2015-12-30T19:00:00.000,3880,MV_W5-Weekday-111100_M116_214,2015-12-30,M1160059,401727,9.44,3325.06,at stop
X27,40.638551,-74.036041,2015-12-30T18:59:57.813,2436,UP_W5-Weekday-108100_X2737_713,2015-12-30,X270190,308088,14.67,15853.37,at stop
B52,40.693626,-73.990457,2015-12-30T19:00:04.000,6532,FP_W5-Weekday-109200_B52_124,2015-12-30,B520043,901463,160.1,8223.35,< 1 stop away
S46,40.643149,-74.074193,2015-12-30T18:59:43.904,7007,CA_E5-Weekday-112600_MISC_529,2015-12-30,S460191,200176,226.32,280.9,< 1 stop away
B61,40.675641,-74.014671,2015-12-30T19:00:03.000,414,JG_W5-Weekday-110700_B61_23,2015-12-30,B610109,305095,3.72,5406.34,at stop
M100,40.843379,-73.939154,2015-12-30T19:00:07.033,4391,KB_W5-Weekday-110400_M100_330,2015-12-30,M1000064,400812,91.03,5858.16,approaching
M101,40.821074,-73.95065,2015-12-30T18:59:55.913,5716,OH_W5-Weekday-105000_M101_144,2015-12-30,M1010341,402518,0.0,12460.53,at stop
B41,40.691715,-73.989035,2015-12-30T18:59:36.000,4614,FB_W5-Weekday-109100_B41_51,2015-12-30,B410305,302434,202.22,11418.35,< 1 stop away
X30,40.626345,-74.158836,2015-12-30T18:59:54.738,2890,MA_E5-Weekday-105000_X30_609,2015-12-30,X300090,203537,176.25,38769.5,< 1 stop away
S61,40.61348,-74.117429,2015-12-30T18:59:42.593,4122,YU_E5-Weekday-111100_MISC_170,2015-12-30,S610065,200585,206.21,5707.71,< 1 stop away
M1,40.745056,-73.987024,2015-12-30T18:59:39.755,3828,OF_W5-Weekday-106200_M7_220,2015-12-30,M010145,400326,3.15,10114.77,at stop
M23,40.748778,-74.006763,2015-12-30T18:59:51.000,5294,MQ_W5-Weekday-113600_M23_15,2015-12-30,M230034,404834,17.7,511.67,at stop
B38,40.691378,-73.98715,2015-12-30T18:59:43.736,7253,GA_W5-Weekday-113000_B38_217,2015-12-30,B380110,307491,155.11,900.74,< 1 stop away
B6,40.633966,-73.948265,2015-12-30T18:59:44.840,7186,UP_W5-Weekday-109100_B6_280,2015-12-30,B6C0157,300541,37.22,7370.1,approaching
B36,40.58743,-73.954372,2015-12-30T19:00:05.000,5101,UP_W5-Weekday-110900_B36_417,2015-12-30,B360132,302815,15.54,6913.17,at stop
B8,40.642012,-73.931324,2015-12-30T18:59:43.000,7594,JG_W5-Weekday-105600_B8_32,2015-12-30,B80111,300842,203.82,12834.72,< 1 stop away
